Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,4/22/2024 18:38,TRUE,Hangzhou Running,10.01,644,0:46:15,144,161,3.3,169,183,4:37,4:11,47,49,1.27,7.7,9.8,250,4:35,347,0,342,464,"7,866",No,00:01.9,11,0:46:11,0:48:09,2,14
Running,4/21/2024 19:01,TRUE,Hangzhou Running,3.89,236,0:18:31,133,147,2.2,168,175,4:45,3:55,16,17,1.26,7.9,10,256,4:41,341,0,337,443,"3,104",No,04:15.2,4,0:18:30,0:18:31,3,13
Running,4/19/2024 17:12,TRUE,Hangzhou Running,10.01,631,0:44:23,147,164,3.4,172,179,4:26,3:55,49,45,1.32,7.5,9.9,243,4:23,364,0,357,480,"7,604",No,00:02.7,11,0:43:58,0:44:23,6,17
Running,4/18/2024 20:36,TRUE,Hangzhou Running,10.01,626,0:43:48,148,161,3.3,171,181,4:23,3:50,47,47,1.34,7.5,10,244,4:21,368,0,363,504,"7,456",No,00:02.0,11,0:43:43,0:43:48,3,13
Running,4/16/2024 16:22,TRUE,Hangzhou Running,10.01,673,0:44:52,159,172,3.5,170,180,4:29,3:53,22,24,1.31,7.6,9.9,245,4:28,352,0,351,435,"7,640",No,00:01.6,11,0:44:46,0:59:33,-6,4
Running,4/15/2024 17:35,TRUE,Hangzhou Running,15.01,"1,024",1:05:48,164,182,4.6,171,181,4:23,3:35,68,61,1.34,7.5,10,244,4:20,367,0,361,481,"11,208",No,00:02.0,16,1:05:31,1:05:48,3,17
Running,10/6/2024 15:56,TRUE,Hangzhou Running,10.01,625,0:43:06,156,171,3.7,173,179,4:18,2:55,38,38,1.36,7.3,9.9,239,4:15,374,0,370,520,"7,402",No,00:02.1,11,0:43:03,0:43:06,12,34
Running,10/5/2024 19:47,TRUE,Hangzhou Running,10,658,0:46:23,152,170,3.5,171,179,4:38,2:58,41,33,1.3,7.6,9.9,246,4:28,355,0,351,511,"7,920",No,04:00.1,10,0:46:20,1:05:45,-1,25
Running,10/3/2024 11:06,TRUE,Hangzhou Running,15.01,952,1:04:34,160,178,4.1,177,192,4:18,2:49,36,29,1.33,7.1,9.4,232,4:12,370,0,369,544,"11,428",No,00:02.1,16,1:04:26,1:18:07,13,38
Running,10/2/2024 11:16,TRUE,Hangzhou Running,10.01,640,0:44:12,157,179,3.4,176,186,4:25,2:51,47,49,1.31,7.2,9.5,236,4:19,364,0,361,534,"7,754",No,00:01.7,11,0:44:07,1:02:11,12,39
Running,10/1/2024 9:25,TRUE,Hangzhou Running,10.01,665,0:44:48,164,182,4.1,174,183,4:29,3:02,52,43,1.3,7.4,9.6,241,4:24,362,0,357,503,"7,800",No,00:00.9,11,0:44:39,0:44:48,8,31
Running,9/29/2024 10:08,TRUE,Hangzhou Running,10,644,0:44:16,162,176,3.7,173,184,4:25,3:20,35,24,1.31,7.4,9.7,242,4:24,358,0,355,487,"7,650",No,00:00.8,11,0:44:10,1:01:51,10,33
Running,9/28/2024 18:06,TRUE,Hangzhou Running,10,621,0:42:33,159,180,4,173,183,4:15,2:50,31,36,1.38,7.3,9.9,237,4:07,375,0,370,539,"7,334",No,00:01.2,11,0:42:32,0:42:33,16,35
Running,9/26/2024 12:06,TRUE,Hangzhou Running,10.01,618,0:45:35,147,165,3.3,172,179,4:33,3:04,43,34,1.32,7.5,9.8,243,4:22,364,0,360,517,"7,824",No,00:01.4,11,0:45:33,0:51:39,11,34
